event_id,event_name,event_type,district_id,start_timestamp,end_timestamp,expected_attendance,actual_attendance,event_impact_level
EVT_0023,Political Event 2023,Political Event,D01,2023-07-29 11:00:00,2023-07-29 16:00:00,7183,6758,Low
EVT_0024,Political Event 2023,Political Event,D14,2023-02-26 16:00:00,2023-02-26 21:00:00,3139,3025,Low
EVT_0025,Public Holiday 2025,Public Holiday,D05,2025-03-07 17:00:00,2025-03-08 04:00:00,23481,21879,High
EVT_0026,Cultural Festival 2023,Cultural Festival,D14,2023-11-25 15:00:00,2023-11-25 22:00:00,3808,3187,Low
EVT_0027,Marathon 2024,Marathon,D04,2024-05-12 15:00:00,2024-05-12 22:00:00,56766,46486,Extreme
EVT_0028,Market 2024,Market,D01,2024-11-04 10:00:00,2024-11-04 13:00:00,3064,3021,Medium
EVT_0029,Festival 2023,Festival,D19,2023-11-15 10:00:00,2023-11-15 20:00:00,11007,10199,High
EVT_0030,Football Match 2023,Football Match,D08,2023-06-06 18:00:00,2023-06-07 05:00:00,21435,18431,High
EVT_0031,Conference 2023,Conference,D15,2023-12-10 13:00:00,2023-12-10 21:00:00,8059,7648,Medium
EVT_0032,Concert 2025,Concert,D15,2025-09-11 09:00:00,2025-09-11 17:00:00,77365,64957,Extreme
EVT_0033,Football Match 2025,Football Match,D09,2025-06-06 18:00:00,2025-06-07 04:00:00,22353,24633,High
EVT_0034,Concert 2024,Concert,D09,2024-02-29 12:00:00,2024-02-29 21:00:00,27813,22973,High
EVT_0035,Cultural Festival 2025,Cultural Festival,D10,2025-04-22 11:00:00,2025-04-22 20:00:00,4356,3289,Medium
EVT_0036,Conference 2023,Conference,D20,2023-03-28 15:00:00,2023-03-29 00:00:00,2823,1919,Medium
EVT_0037,Festival 2025,Festival,D09,2025-03-23 12:00:00,2025-03-23 20:00:00,29280,27613,High
EVT_0038,Parade 2025,Parade,D03,2025-04-23 13:00:00,2025-04-23 19:00:00,11682,10798,High
EVT_0039,Festival 2024,Festival,D20,2024-12-29 17:00:00,2024-12-30 00:00:00,15626,15466,High
EVT_0040,Concert 2024,Concert,D11,2024-07-08 10:00:00,2024-07-08 15:00:00,61752,54301,Extreme
EVT_0041,Political Event 2023,Political Event,D06,2023-09-01 16:00:00,2023-09-01 20:00:00,6179,5463,Medium
EVT_0042,Marathon 2025,Marathon,D02,2025-01-09 10:00:00,2025-01-09 16:00:00,37343,29177,High
EVT_0043,Cultural Festival 2023,Cultural Festival,D07,2023-03-29 13:00:00,2023-03-29 23:00:00,3946,3515,Medium
EVT_0044,Conference 2024,Conference,D18,2024-04-22 15:00:00,2024-04-22 18:00:00,2763,2884,Low
EVT_0045,Parade 2024,Parade,D02,2024-12-02 14:00:00,2024-12-03 01:00:00,15109,14943,High
EVT_0046,Political Event 2024,Political Event,D17,2024-06-19 16:00:00,2024-06-19 19:00:00,9465,6892,Medium
EVT_0047,Market 2025,Market,D11,2025-05-31 10:00:00,2025-05-31 18:00:00,3043,2817,Medium
EVT_0048,Market 2025,Market,D12,2025-02-19 11:00:00,2025-02-19 21:00:00,7731,7320,Low
EVT_0049,Conference 2023,Conference,D19,2023-04-07 14:00:00,2023-04-07 22:00:00,3720,3371,Medium
EVT_0050,Conference 2024,Conference,D07,2024-09-20 17:00:00,2024-09-20 20:00:00,8833,7260,Medium
EVT_0051,Parade 2023,Parade,D20,2023-12-01 15:00:00,2023-12-01 19:00:00,33398,32169,High
EVT_0052,Concert 2024,Concert,D06,2024-06-13 10:00:00,2024-06-13 19:00:00,71047,56988,Extreme
EVT_0053,Market 2023,Market,D01,2023-11-16 11:00:00,2023-11-16 19:00:00,7917,7172,Low
EVT_0054,Political Event 2025,Political Event,D17,2025-06-24 10:00:00,2025-06-24 20:00:00,4389,3666,Medium
EVT_0055,Conference 2023,Conference,D11,2023-02-21 15:00:00,2023-02-21 21:00:00,1021,859,Medium
EVT_0056,Parade 2025,Parade,D18,2025-03-25 18:00:00,2025-03-25 22:00:00,17179,15419,High
EVT_0057,Festival 2024,Festival,D17,2024-04-11 15:00:00,2024-04-12 02:00:00,36745,31771,High
EVT_0058,Public Holiday 2023,Public Holiday,D07,2023-03-12 16:00:00,2023-03-13 01:00:00,14790,10313,High
EVT_0059,Parade 2023,Parade,D17,2023-12-11 11:00:00,2023-12-11 15:00:00,17057,13114,High
EVT_0060,Festival 2025,Festival,D20,2025-03-10 16:00:00,2025-03-11 03:00:00,37547,38292,High
EVT_0061,Festival 2023,Festival,D09,2023-08-09 18:00:00,2023-08-09 23:00:00,22732,19873,High
EVT_0062,Conference 2024,Conference,D17,2024-12-14 13:00:00,2024-12-14 23:00:00,4453,3264,Medium
EVT_0063,Concert 2025,Concert,D20,2025-11-25 16:00:00,2025-11-25 20:00:00,35282,26243,High
EVT_0064,Conference 2025,Conference,D08,2025-06-11 13:00:00,2025-06-11 17:00:00,2394,2633,Medium
EVT_0065,Football Match 2025,Football Match,D17,2025-09-10 14:00:00,2025-09-10 19:00:00,39342,38355,High
EVT_0066,Cultural Festival 2023,Cultural Festival,D07,2023-11-20 12:00:00,2023-11-20 21:00:00,1525,1263,Medium
EVT_0067,Public Holiday 2023,Public Holiday,D01,2023-11-18 10:00:00,2023-11-18 19:00:00,22197,16313,High
EVT_0068,Market 2025,Market,D13,2025-05-25 16:00:00,2025-05-26 01:00:00,4155,3718,Medium
EVT_0069,Concert 2024,Concert,D19,2024-04-12 15:00:00,2024-04-12 23:00:00,46616,46835,High
EVT_0070,Political Event 2025,Political Event,D19,2025-11-13 13:00:00,2025-11-13 16:00:00,5555,4835,Medium
EVT_0071,Cultural Festival 2025,Cultural Festival,D17,2025-03-22 12:00:00,2025-03-22 21:00:00,1629,1369,Medium
EVT_0072,Public Holiday 2024,Public Holiday,D13,2024-11-10 17:00:00,2024-11-10 20:00:00,25635,18067,High
EVT_0073,Market 2023,Market,D16,2023-08-20 16:00:00,2023-08-20 19:00:00,1575,1550,Medium
EVT_0074,Concert 2023,Concert,D08,2023-10-14 13:00:00,2023-10-14 16:00:00,29847,30511,High
EVT_0075,Conference 2023,Conference,D19,2023-02-01 16:00:00,2023-02-02 00:00:00,4953,4481,Medium
EVT_0076,Marathon 2024,Marathon,D18,2024-08-05 12:00:00,2024-08-05 15:00:00,21058,17504,High
EVT_0077,Public Holiday 2025,Public Holiday,D01,2025-10-23 14:00:00,2025-10-23 21:00:00,15178,13779,High
EVT_0078,Public Holiday 2025,Public Holiday,D14,2025-12-02 18:00:00,2025-12-03 00:00:00,12289,8604,High
EVT_0079,Market 2023,Market,D19,2023-07-30 16:00:00,2023-07-30 20:00:00,8473,7512,Low
EVT_0080,Parade 2025,Parade,D15,2025-07-26 10:00:00,2025-07-26 19:00:00,22115,22304,High
EVT_0081,Football Match 2023,Football Match,D18,2023-07-18 15:00:00,2023-07-18 21:00:00,63753,52706,Extreme
EVT_0082,Marathon 2024,Marathon,D02,2024-03-09 13:00:00,2024-03-09 16:00:00,62759,59655,Extreme
EVT_0083,Parade 2025,Parade,D17,2025-10-12 14:00:00,2025-10-12 21:00:00,27582,27223,High
EVT_0084,Football Match 2023,Football Match,D18,2023-10-19 18:00:00,2023-10-19 22:00:00,35504,33713,High
EVT_0085,Political Event 2024,Political Event,D06,2024-12-12 18:00:00,2024-12-13 04:00:00,1986,1910,Medium
EVT_0086,Market 2023,Market,D19,2023-07-19 13:00:00,2023-07-19 20:00:00,9125,8341,Medium
EVT_0087,Parade 2025,Parade,D04,2025-01-30 10:00:00,2025-01-30 14:00:00,26958,24089,High
EVT_0088,Market 2023,Market,D01,2023-05-19 17:00:00,2023-05-20 00:00:00,8114,7569,Medium
EVT_0089,Conference 2023,Conference,D08,2023-12-30 10:00:00,2023-12-30 18:00:00,5114,5006,Medium
EVT_0090,Parade 2023,Parade,D07,2023-11-28 09:00:00,2023-11-28 19:00:00,26838,23103,High
EVT_0091,Concert 2024,Concert,D03,2024-12-15 17:00:00,2024-12-16 00:00:00,47723,48541,High
EVT_0092,Concert 2025,Concert,D10,2025-05-23 11:00:00,2025-05-23 22:00:00,65360,72081,Extreme
EVT_0093,Parade 2025,Parade,D10,2025-09-04 09:00:00,2025-09-04 14:00:00,21530,22912,High
EVT_0094,Market 2023,Market,D19,2023-01-11 18:00:00,2023-01-11 22:00:00,7228,7235,Medium
EVT_0095,Parade 2023,Parade,D14,2023-12-19 16:00:00,2023-12-19 20:00:00,36523,27795,High
EVT_0096,Marathon 2023,Marathon,D02,2023-10-18 13:00:00,2023-10-18 19:00:00,74597,54863,Extreme
EVT_0097,Marathon 2023,Marathon,D01,2023-12-26 10:00:00,2023-12-26 17:00:00,61974,56577,Extreme
EVT_0098,Public Holiday 2025,Public Holiday,D18,2025-09-17 11:00:00,2025-09-17 17:00:00,26524,24879,High
EVT_0099,Football Match 2024,Football Match,D07,2024-12-31 14:00:00,2024-12-31 19:00:00,66413,48528,Extreme
EVT_0100,Political Event 2025,Political Event,D08,2025-10-07 12:00:00,2025-10-07 17:00:00,8311,7398,Medium
EVT_0101,Football Match 2024,Football Match,D01,2024-01-17 12:00:00,2024-01-17 16:00:00,64976,51599,Extreme
EVT_0102,Marathon 2024,Marathon,D03,2024-10-14 18:00:00,2024-10-15 03:00:00,43486,39412,High
EVT_0103,Cultural Festival 2023,Cultural Festival,D08,2023-12-09 16:00:00,2023-12-09 19:00:00,9636,8533,Medium
EVT_0104,Parade 2024,Parade,D15,2024-01-13 14:00:00,2024-01-13 23:00:00,19600,19200,High
EVT_0105,Parade 2024,Parade,D05,2024-07-20 16:00:00,2024-07-21 01:00:00,33669,38874,High
EVT_0106,Cultural Festival 2023,Cultural Festival,D03,2023-11-03 18:00:00,2023-11-04 05:00:00,6752,6355,Low
EVT_0107,Political Event 2025,Political Event,D19,2025-06-08 18:00:00,2025-06-09 04:00:00,5815,5667,Low
EVT_0108,Festival 2024,Festival,D01,2024-03-01 10:00:00,2024-03-01 20:00:00,13683,11355,High
EVT_0109,Football Match 2023,Football Match,D15,2023-09-05 15:00:00,2023-09-06 02:00:00,57778,47173,Extreme
EVT_0110,Concert 2023,Concert,D08,2023-02-19 10:00:00,2023-02-19 17:00:00,69634,77608,Extreme
EVT_0111,Marathon 2023,Marathon,D02,2023-04-18 10:00:00,2023-04-18 13:00:00,34996,35781,High
EVT_0112,Market 2023,Market,D03,2023-03-01 18:00:00,2023-03-02 05:00:00,8421,8945,Low
EVT_0113,Marathon 2025,Marathon,D14,2025-02-03 10:00:00,2025-02-03 15:00:00,48482,34576,High
EVT_0114,Marathon 2025,Marathon,D14,2025-08-28 17:00:00,2025-08-28 20:00:00,64311,45184,Extreme
EVT_0115,Cultural Festival 2025,Cultural Festival,D11,2025-02-08 11:00:00,2025-02-08 17:00:00,2125,1948,Medium
EVT_0116,Public Holiday 2025,Public Holiday,D16,2025-10-19 12:00:00,2025-10-19 22:00:00,22640,20945,High
EVT_0117,Market 2023,Market,D04,2023-06-08 12:00:00,2023-06-08 17:00:00,6472,6576,Low
EVT_0118,Public Holiday 2024,Public Holiday,D20,2024-02-16 09:00:00,2024-02-16 13:00:00,12475,9291,High
EVT_0119,Parade 2025,Parade,D05,2025-12-22 13:00:00,2025-12-22 23:00:00,11735,11104,High
EVT_0120,Parade 2023,Parade,D14,2023-01-24 18:00:00,2023-01-24 23:00:00,15249,16953,High
EVT_0121,Parade 2024,Parade,D16,2024-12-22 15:00:00,2024-12-22 19:00:00,35808,32183,High
EVT_0122,Parade 2024,Parade,D18,2024-01-03 12:00:00,2024-01-03 22:00:00,22075,20117,High
EVT_0123,Public Holiday 2024,Public Holiday,D07,2024-06-25 18:00:00,2024-06-26 00:00:00,20060,20684,High
EVT_0124,Marathon 2025,Marathon,D10,2025-07-12 15:00:00,2025-07-13 02:00:00,23083,22377,High
EVT_0125,Conference 2025,Conference,D07,2025-05-17 09:00:00,2025-05-17 19:00:00,2679,2268,Medium
EVT_0126,Public Holiday 2025,Public Holiday,D01,2025-11-16 16:00:00,2025-11-17 00:00:00,32483,24663,High
EVT_0127,Concert 2025,Concert,D19,2025-06-17 16:00:00,2025-06-18 02:00:00,52376,43740,Extreme
EVT_0128,Political Event 2024,Political Event,D16,2024-08-10 14:00:00,2024-08-10 18:00:00,5895,5466,Low
EVT_0129,Conference 2023,Conference,D19,2023-03-25 13:00:00,2023-03-25 21:00:00,3785,3109,Low
EVT_0130,Market 2025,Market,D04,2025-04-02 13:00:00,2025-04-02 17:00:00,3496,2681,Low
EVT_0131,Marathon 2024,Marathon,D18,2024-12-27 11:00:00,2024-12-27 17:00:00,38073,35745,High
EVT_0132,Parade 2024,Parade,D02,2024-05-08 11:00:00,2024-05-08 19:00:00,15435,17739,High
EVT_0133,Cultural Festival 2025,Cultural Festival,D01,2025-07-15 13:00:00,2025-07-15 19:00:00,5107,5049,Low
EVT_0134,Cultural Festival 2025,Cultural Festival,D15,2025-01-25 11:00:00,2025-01-25 21:00:00,8629,5786,Medium
EVT_0135,Conference 2023,Conference,D05,2023-08-26 11:00:00,2023-08-26 20:00:00,8693,7446,Low
EVT_0136,Cultural Festival 2023,Cultural Festival,D20,2023-03-18 12:00:00,2023-03-18 16:00:00,6656,5628,Medium
EVT_0137,Concert 2025,Concert,D11,2025-04-04 17:00:00,2025-04-05 01:00:00,73411,58556,Extreme
EVT_0138,Festival 2023,Festival,D10,2023-08-07 14:00:00,2023-08-07 20:00:00,12530,11655,High
EVT_0139,Market 2025,Market,D02,2025-12-19 17:00:00,2025-12-20 01:00:00,6772,6053,Low
EVT_0140,Conference 2025,Conference,D03,2025-09-01 12:00:00,2025-09-01 23:00:00,8340,6628,Medium
EVT_0141,Parade 2023,Parade,D12,2023-07-12 12:00:00,2023-07-12 16:00:00,29103,27764,High
EVT_0142,Festival 2023,Festival,D20,2023-05-22 15:00:00,2023-05-22 20:00:00,23828,18389,High
EVT_0143,Cultural Festival 2024,Cultural Festival,D05,2024-03-08 11:00:00,2024-03-08 15:00:00,7488,7966,Medium
EVT_0144,Marathon 2023,Marathon,D05,2023-10-22 16:00:00,2023-10-23 03:00:00,79474,70737,Extreme
EVT_0145,Public Holiday 2025,Public Holiday,D06,2025-09-15 17:00:00,2025-09-15 22:00:00,15448,12807,High
EVT_0146,Conference 2023,Conference,D09,2023-05-20 15:00:00,2023-05-20 18:00:00,2638,2599,Medium
EVT_0147,Marathon 2023,Marathon,D02,2023-10-17 09:00:00,2023-10-17 16:00:00,54171,53897,Extreme
EVT_0148,Football Match 2025,Football Match,D12,2025-05-10 14:00:00,2025-05-10 23:00:00,35422,26619,High
EVT_0149,Festival 2024,Festival,D03,2024-05-22 13:00:00,2024-05-22 19:00:00,36715,28208,High
EVT_0150,Marathon 2023,Marathon,D20,2023-12-13 14:00:00,2023-12-13 21:00:00,24481,21849,High
EVT_0151,Parade 2025,Parade,D12,2025-01-15 13:00:00,2025-01-15 21:00:00,17758,19088,High
EVT_0152,Public Holiday 2023,Public Holiday,D17,2023-10-26 16:00:00,2023-10-27 01:00:00,37660,36884,High
EVT_0153,Public Holiday 2025,Public Holiday,D10,2025-01-26 13:00:00,2025-01-26 17:00:00,26052,20856,High
EVT_0154,Marathon 2025,Marathon,D14,2025-11-04 13:00:00,2025-11-04 19:00:00,49300,44217,High
EVT_0155,Football Match 2024,Football Match,D17,2024-06-15 18:00:00,2024-06-16 00:00:00,57487,50744,Extreme
EVT_0156,Parade 2024,Parade,D18,2024-09-28 17:00:00,2024-09-28 23:00:00,37177,39822,High
EVT_0157,Market 2024,Market,D19,2024-09-05 13:00:00,2024-09-05 16:00:00,1016,1030,Medium
EVT_0158,Cultural Festival 2024,Cultural Festival,D17,2024-03-04 09:00:00,2024-03-04 13:00:00,9123,7188,Medium
EVT_0159,Football Match 2024,Football Match,D14,2024-01-16 13:00:00,2024-01-16 22:00:00,69927,64868,Extreme
EVT_0160,Political Event 2024,Political Event,D09,2024-08-12 09:00:00,2024-08-12 18:00:00,8340,8172,Low
EVT_0161,Marathon 2023,Marathon,D08,2023-12-21 13:00:00,2023-12-21 16:00:00,46724,45757,High
EVT_0162,Festival 2024,Festival,D02,2024-04-23 11:00:00,2024-04-23 21:00:00,12711,13000,High
EVT_0163,Conference 2023,Conference,D13,2023-03-20 09:00:00,2023-03-20 16:00:00,7420,5678,Medium
EVT_0164,Marathon 2024,Marathon,D07,2024-03-06 12:00:00,2024-03-06 17:00:00,79890,64138,Extreme
EVT_0165,Public Holiday 2023,Public Holiday,D09,2023-06-28 11:00:00,2023-06-28 18:00:00,16493,13527,High
EVT_0166,Political Event 2023,Political Event,D11,2023-11-30 09:00:00,2023-11-30 19:00:00,3376,2989,Medium
EVT_0167,Concert 2024,Concert,D14,2024-08-18 10:00:00,2024-08-18 15:00:00,70979,73308,Extreme
EVT_0168,Cultural Festival 2023,Cultural Festival,D04,2023-06-24 17:00:00,2023-06-25 04:00:00,5285,5050,Low
EVT_0169,Conference 2024,Conference,D13,2024-12-18 10:00:00,2024-12-18 17:00:00,9843,8914,Low
EVT_0170,Cultural Festival 2023,Cultural Festival,D02,2023-02-09 13:00:00,2023-02-09 17:00:00,8569,7942,Low
EVT_0171,Political Event 2023,Political Event,D05,2023-01-31 17:00:00,2023-02-01 04:00:00,6946,7679,Medium
EVT_0172,Conference 2025,Conference,D11,2025-04-10 14:00:00,2025-04-10 20:00:00,1685,1330,Low
EVT_0173,Festival 2023,Festival,D06,2023-05-17 16:00:00,2023-05-17 23:00:00,36143,35225,High
EVT_0174,Public Holiday 2023,Public Holiday,D18,2023-02-24 17:00:00,2023-02-24 21:00:00,38044,32869,High
EVT_0175,Political Event 2025,Political Event,D10,2025-04-08 13:00:00,2025-04-08 23:00:00,7381,7473,Low
EVT_0176,Football Match 2025,Football Match,D04,2025-05-01 17:00:00,2025-05-02 01:00:00,33057,27108,High
EVT_0177,Football Match 2023,Football Match,D09,2023-10-20 13:00:00,2023-10-20 19:00:00,64638,50442,Extreme
EVT_0178,Concert 2024,Concert,D06,2024-12-04 14:00:00,2024-12-04 21:00:00,28706,25721,High
EVT_0179,Marathon 2023,Marathon,D02,2023-11-29 14:00:00,2023-11-29 19:00:00,71612,65615,Extreme
EVT_0180,Political Event 2025,Political Event,D17,2025-06-29 17:00:00,2025-06-30 00:00:00,9553,7779,Medium
EVT_0181,Public Holiday 2023,Public Holiday,D05,2023-01-04 16:00:00,2023-01-04 19:00:00,26898,27672,High
EVT_0182,Marathon 2024,Marathon,D06,2024-06-10 17:00:00,2024-06-11 00:00:00,34042,29198,High
EVT_0183,Market 2024,Market,D12,2024-06-14 10:00:00,2024-06-14 21:00:00,3547,2678,Medium
EVT_0184,Parade 2025,Parade,D10,2025-12-20 11:00:00,2025-12-20 20:00:00,22087,17434,High
EVT_0185,Cultural Festival 2024,Cultural Festival,D06,2024-12-01 11:00:00,2024-12-01 18:00:00,3179,3410,Low
EVT_0186,Festival 2025,Festival,D08,2025-01-22 16:00:00,2025-01-23 00:00:00,33705,28987,High
EVT_0187,Public Holiday 2025,Public Holiday,D02,2025-08-26 13:00:00,2025-08-26 21:00:00,23109,17272,High
EVT_0188,Concert 2025,Concert,D12,2025-11-24 17:00:00,2025-11-24 23:00:00,47766,49020,High
EVT_0189,Festival 2023,Festival,D13,2023-07-28 15:00:00,2023-07-28 21:00:00,26087,22905,High
EVT_0190,Political Event 2023,Political Event,D07,2023-02-28 12:00:00,2023-02-28 18:00:00,1161,1008,Medium
EVT_0191,Festival 2025,Festival,D10,2025-11-20 10:00:00,2025-11-20 15:00:00,22080,17680,High
EVT_0192,Public Holiday 2025,Public Holiday,D13,2025-08-21 16:00:00,2025-08-22 00:00:00,21166,19866,High
EVT_0193,Conference 2023,Conference,D17,2023-03-05 12:00:00,2023-03-05 17:00:00,6469,5254,Low
EVT_0194,Market 2025,Market,D14,2025-04-29 12:00:00,2025-04-29 15:00:00,2019,1975,Medium
EVT_0195,Parade 2024,Parade,D02,2024-09-10 09:00:00,2024-09-10 12:00:00,11283,8656,High
EVT_0196,Market 2024,Market,D11,2024-08-13 14:00:00,2024-08-13 23:00:00,4471,4016,Low
EVT_0197,Cultural Festival 2023,Cultural Festival,D01,2023-04-11 17:00:00,2023-04-11 23:00:00,3097,2623,Low
EVT_0198,Public Holiday 2023,Public Holiday,D19,2023-06-18 09:00:00,2023-06-18 14:00:00,38562,37680,High
EVT_0199,Cultural Festival 2024,Cultural Festival,D04,2024-07-03 18:00:00,2024-07-03 23:00:00,8999,5656,Low
EVT_0200,Parade 2024,Parade,D19,2024-01-01 13:00:00,2024-01-01 19:00:00,36201,29686,High
EVT_0201,Marathon 2024,Marathon,D11,2024-01-07 12:00:00,2024-01-07 21:00:00,25105,22845,High
EVT_0202,Market 2024,Market,D08,2024-06-18 12:00:00,2024-06-18 20:00:00,1685,1541,Medium
EVT_0203,Political Event 2023,Political Event,D11,2023-09-18 17:00:00,2023-09-18 23:00:00,7868,7778,Medium
EVT_0204,Cultural Festival 2025,Cultural Festival,D04,2025-12-04 18:00:00,2025-12-05 02:00:00,8896,7390,Low
EVT_0205,Conference 2023,Conference,D17,2023-10-03 14:00:00,2023-10-04 01:00:00,3643,2395,Medium
EVT_0206,Football Match 2023,Football Match,D07,2023-11-05 15:00:00,2023-11-05 23:00:00,69823,69013,Extreme
EVT_0207,Political Event 2024,Political Event,D08,2024-11-25 16:00:00,2024-11-25 22:00:00,7342,6527,Low
EVT_0208,Cultural Festival 2024,Cultural Festival,D03,2024-06-16 17:00:00,2024-06-17 00:00:00,7164,6014,Medium
EVT_0209,Marathon 2023,Marathon,D02,2023-09-02 13:00:00,2023-09-02 18:00:00,54521,46030,Extreme
EVT_0210,Public Holiday 2023,Public Holiday,D15,2023-03-08 11:00:00,2023-03-08 22:00:00,39055,30993,High
EVT_0211,Concert 2025,Concert,D05,2025-02-28 17:00:00,2025-03-01 04:00:00,27345,22949,High
EVT_0212,Parade 2023,Parade,D01,2023-03-09 17:00:00,2023-03-10 02:00:00,29446,31299,High
EVT_0213,Political Event 2024,Political Event,D04,2024-02-28 09:00:00,2024-02-28 12:00:00,1572,1573,Medium
EVT_0214,Concert 2024,Concert,D15,2024-08-20 15:00:00,2024-08-20 23:00:00,41008,27540,High
EVT_0215,Parade 2023,Parade,D20,2023-01-13 10:00:00,2023-01-13 18:00:00,20849,16123,High
EVT_0216,Market 2024,Market,D19,2024-02-03 10:00:00,2024-02-03 18:00:00,4137,3699,Medium
EVT_0217,Marathon 2025,Marathon,D03,2025-08-30 10:00:00,2025-08-30 15:00:00,47733,47468,High
EVT_0218,Festival 2024,Festival,D20,2024-12-24 14:00:00,2024-12-24 19:00:00,11854,9851,High
EVT_0219,Public Holiday 2025,Public Holiday,D11,2025-11-08 09:00:00,2025-11-08 18:00:00,22819,24148,High
EVT_0220,Political Event 2025,Political Event,D17,2025-12-17 12:00:00,2025-12-17 20:00:00,2749,2549,Medium
EVT_0221,Cultural Festival 2025,Cultural Festival,D13,2025-12-21 17:00:00,2025-12-22 03:00:00,4867,5270,Medium
EVT_0222,Political Event 2025,Political Event,D11,2025-02-06 16:00:00,2025-02-06 21:00:00,8264,9106,Medium
EVT_0223,Parade 2023,Parade,D02,2023-07-04 12:00:00,2023-07-04 17:00:00,25795,17530,High
EVT_0224,Festival 2023,Festival,D09,2023-12-18 11:00:00,2023-12-18 18:00:00,39450,31412,High
EVT_0225,Political Event 2024,Political Event,D02,2024-07-15 16:00:00,2024-07-16 02:00:00,3555,2911,Medium
EVT_0226,Market 2025,Market,D09,2025-09-18 16:00:00,2025-09-19 01:00:00,5654,5616,Low
EVT_0227,Cultural Festival 2024,Cultural Festival,D09,2024-02-18 16:00:00,2024-02-18 20:00:00,7971,6194,Medium
EVT_0228,Football Match 2025,Football Match,D08,2025-06-23 11:00:00,2025-06-23 16:00:00,21898,20174,High
EVT_0229,Concert 2025,Concert,D17,2025-08-19 16:00:00,2025-08-20 00:00:00,79611,67299,Extreme
EVT_0230,Conference 2025,Conference,D01,2025-09-30 13:00:00,2025-09-30 20:00:00,8133,6900,Medium
EVT_0231,Market 2023,Market,D11,2023-12-03 14:00:00,2023-12-03 19:00:00,8183,7581,Low
EVT_0232,Conference 2024,Conference,D08,2024-04-07 13:00:00,2024-04-07 17:00:00,1923,1722,Medium
EVT_0233,Public Holiday 2025,Public Holiday,D10,2025-02-26 18:00:00,2025-02-27 03:00:00,19752,16785,High
EVT_0234,Market 2025,Market,D07,2025-01-11 13:00:00,2025-01-11 18:00:00,1645,1572,Low
EVT_0235,Market 2023,Market,D03,2023-09-23 17:00:00,2023-09-23 21:00:00,1587,1170,Medium
EVT_0236,Public Holiday 2023,Public Holiday,D03,2023-10-27 16:00:00,2023-10-27 19:00:00,36274,33232,High
EVT_0237,Market 2024,Market,D18,2024-08-25 12:00:00,2024-08-25 16:00:00,7450,7038,Low
EVT_0238,Concert 2023,Concert,D05,2023-01-03 15:00:00,2023-01-03 23:00:00,26980,21006,High
EVT_0239,Conference 2023,Conference,D12,2023-01-07 11:00:00,2023-01-07 14:00:00,7049,5693,Medium
EVT_0240,Political Event 2024,Political Event,D12,2024-08-19 12:00:00,2024-08-19 15:00:00,4830,4590,Low
