event_id,timestamp,district_id,emergency_type,severity_level,response_time_minutes,ambulance_required,hospital_transport_required,weather_related_flag,traffic_related_flag,outcome
EMG_000051,2023-01-05 19:04:00,D19,Traffic Accident,Medium,24.291000149331868,1,0,0,1,Resolved On-Site
EMG_000052,2023-01-06 05:40:00,D01,Traffic Accident,Low,15.12250128457686,1,0,0,1,Resolved On-Site
EMG_000053,2023-01-06 07:00:00,D10,Infrastructure Failure,Low,21.99225380702988,0,0,0,0,Transported to Hospital
EMG_000054,2023-01-06 08:37:00,D13,Traffic Accident,High,15.232216944696724,1,1,0,1,Transported to Hospital
EMG_000055,2023-01-06 09:52:00,D11,Medical Emergency,High,30.662064428437407,1,1,0,0,Referred to Other Agency
EMG_000056,2023-01-06 10:43:00,D06,Infrastructure Failure,Medium,18.680743919312555,0,0,0,0,Transported to Hospital
EMG_000057,2023-01-06 10:07:00,D06,Medical Emergency,High,17.910756876641397,1,1,0,0,Resolved On-Site
EMG_000058,2023-01-07 05:10:00,D13,Infrastructure Failure,Critical,4.409553567762351,0,0,0,0,Referred to Other Agency
EMG_000059,2023-01-07 05:23:00,D13,Traffic Accident,Medium,12.012849172032318,1,0,0,1,Transported to Hospital
EMG_000060,2023-01-07 06:33:00,D20,Public Safety Incident,Low,16.596164428226725,0,0,0,0,Transported to Hospital
EMG_000061,2023-01-07 19:00:00,D16,Medical Emergency,Critical,6.271048334916893,1,1,0,0,Resolved On-Site
EMG_000062,2023-01-07 22:36:00,D15,Traffic Accident,Low,19.590322758627412,1,0,0,1,Resolved On-Site
EMG_000063,2023-01-08 04:00:00,D02,Traffic Accident,Medium,11.833984375297934,1,0,0,1,Transported to Hospital
EMG_000064,2023-01-08 06:22:00,D01,Medical Emergency,Medium,18.182517615782807,1,0,0,0,Resolved On-Site
EMG_000065,2023-01-08 06:09:00,D01,Medical Emergency,High,10.159863906364587,1,1,0,0,Transported to Hospital
EMG_000066,2023-01-08 06:14:00,D01,Infrastructure Failure,Low,20.14551539145949,0,0,0,0,Resolved On-Site
EMG_000067,2023-01-08 06:11:00,D01,Fire,Low,20.743291426162926,0,0,0,0,Transported to Hospital
EMG_000068,2023-01-08 10:31:00,D11,Medical Emergency,Low,26.10326368740723,1,0,0,0,Referred to Other Agency
EMG_000069,2023-01-08 10:15:00,D11,Medical Emergency,Low,24.75805574915057,1,0,0,0,Transported to Hospital
EMG_000070,2023-01-08 10:06:00,D16,Fire,Medium,12.735212077577721,0,0,0,0,Referred to Other Agency
EMG_000071,2023-01-08 10:32:00,D16,Traffic Accident,Low,21.25441195437793,1,0,0,1,Transported to Hospital
EMG_000072,2023-01-08 13:34:00,D09,Medical Emergency,Medium,18.569661433815494,1,0,0,0,Resolved On-Site
EMG_000073,2023-01-08 14:17:00,D10,Traffic Accident,Low,18.314892114079026,1,0,0,1,Resolved On-Site
EMG_000074,2023-01-08 15:47:00,D14,Medical Emergency,High,12.35587097236505,1,1,0,0,Resolved On-Site
EMG_000075,2023-01-08 16:05:00,D14,Traffic Accident,Medium,16.950052129204813,1,0,0,1,Transported to Hospital
EMG_000076,2023-01-08 20:12:00,D08,Fire,Medium,15.719348282654238,0,0,0,0,Resolved On-Site
EMG_000077,2023-01-08 21:19:00,D03,Traffic Accident,Medium,12.34198608316748,1,0,0,1,Transported to Hospital
EMG_000078,2023-01-09 00:13:00,D15,Traffic Accident,Medium,15.914396985709683,1,0,0,1,Resolved On-Site
EMG_000079,2023-01-09 03:33:00,D17,Traffic Accident,Medium,16.7487879717566,1,0,0,1,Transported to Hospital
EMG_000080,2023-01-09 04:32:00,D14,Medical Emergency,Medium,15.487768161229852,1,0,0,0,Resolved On-Site
EMG_000081,2023-01-09 06:13:00,D09,Traffic Accident,Medium,22.124367500168276,1,0,0,1,Resolved On-Site
EMG_000082,2023-01-09 13:02:00,D11,Traffic Accident,Low,30.348173959557165,1,0,0,1,Resolved On-Site
EMG_000083,2023-01-09 13:35:00,D11,Traffic Accident,Medium,23.44503265827437,1,0,0,1,Transported to Hospital
EMG_000084,2023-01-09 16:56:00,D05,Medical Emergency,Low,26.957635124270507,1,0,0,0,Resolved On-Site
EMG_000085,2023-01-09 23:57:00,D02,Medical Emergency,Low,15.162207278948879,1,0,0,0,Referred to Other Agency
EMG_000086,2023-01-09 23:53:00,D03,Medical Emergency,Low,16.0556934799385,1,0,0,0,Resolved On-Site
EMG_000087,2023-01-10 04:20:00,D18,Traffic Accident,Low,16.458814176899047,1,0,0,1,Resolved On-Site
EMG_000088,2023-01-10 05:03:00,D12,Traffic Accident,Low,11.430907124061541,1,0,0,1,Resolved On-Site
EMG_000089,2023-01-10 09:12:00,D17,Traffic Accident,Medium,20.52053202399371,1,0,0,1,Transported to Hospital
EMG_000090,2023-01-11 07:04:00,D08,Public Safety Incident,Low,22.849708371667816,0,0,0,0,Transported to Hospital
EMG_000091,2023-01-11 08:02:00,D04,Public Safety Incident,Medium,27.347201986621855,0,0,0,0,Resolved On-Site
EMG_000092,2023-01-11 09:20:00,D15,Traffic Accident,Low,25.598476064247112,1,0,0,1,Resolved On-Site
EMG_000093,2023-01-11 11:48:00,D08,Medical Emergency,Low,15.197292083222974,1,0,0,0,Resolved On-Site
EMG_000094,2023-01-11 18:43:00,D18,Medical Emergency,Low,24.73444236662895,1,0,0,0,Resolved On-Site
EMG_000095,2023-01-11 21:41:00,D15,Traffic Accident,Medium,19.793911358509256,1,0,0,1,Resolved On-Site
EMG_000096,2023-01-12 05:40:00,D18,Traffic Accident,High,10.91794146474428,1,1,0,1,Referred to Other Agency
EMG_000097,2023-01-12 12:36:00,D10,Traffic Accident,Critical,27.27257940776757,1,1,0,1,Resolved On-Site
EMG_000098,2023-01-12 12:48:00,D18,Traffic Accident,High,37.10783571247055,1,1,0,1,Transported to Hospital
EMG_000099,2023-01-12 13:15:00,D04,Traffic Accident,Low,42.73564507130941,1,0,0,1,Resolved On-Site
EMG_000100,2023-01-12 13:41:00,D04,Traffic Accident,Low,42.19778003807118,1,0,0,1,Referred to Other Agency
EMG_000101,2023-01-12 13:03:00,D05,Traffic Accident,Medium,37.14769470110048,1,0,0,1,Resolved On-Site
EMG_000102,2023-01-12 13:49:00,D10,Public Safety Incident,Medium,29.534238522142548,0,0,0,0,Resolved On-Site
EMG_000103,2023-01-12 13:03:00,D12,Traffic Accident,Medium,29.652312201044857,1,0,0,1,Referred to Other Agency
EMG_000104,2023-01-12 13:44:00,D13,Medical Emergency,Low,30.451274333254815,1,0,0,0,Resolved On-Site
EMG_000105,2023-01-12 13:32:00,D14,Weather Emergency,Medium,29.270573818489844,0,0,1,0,Resolved On-Site
EMG_000106,2023-01-12 13:10:00,D19,Weather Emergency,Medium,33.31851187269854,0,0,1,0,Resolved On-Site
EMG_000107,2023-01-12 13:13:00,D19,Weather Emergency,High,27.82590202874947,0,0,1,0,Resolved On-Site
EMG_000108,2023-01-12 14:53:00,D04,Infrastructure Failure,Medium,45.39842017330665,0,0,0,0,Resolved On-Site
EMG_000109,2023-01-12 14:45:00,D15,Traffic Accident,Medium,31.236202599349358,1,0,0,1,Transported to Hospital
EMG_000110,2023-01-12 15:24:00,D04,Infrastructure Failure,Medium,44.712912936303304,0,0,0,0,Transported to Hospital
EMG_000111,2023-01-12 15:16:00,D04,Weather Emergency,Low,41.25244233455453,0,0,1,0,Resolved On-Site
EMG_000112,2023-01-12 15:11:00,D07,Infrastructure Failure,Low,43.39491231403023,0,0,0,0,Resolved On-Site
EMG_000113,2023-01-12 15:40:00,D18,Weather Emergency,Medium,34.35440957716749,0,0,1,0,Resolved On-Site
EMG_000114,2023-01-12 15:19:00,D18,Weather Emergency,Medium,35.62552486547434,0,0,1,0,Resolved On-Site
EMG_000115,2023-01-12 15:51:00,D19,Fire,Medium,35.37255012896601,0,0,0,0,Transported to Hospital
EMG_000116,2023-01-12 16:09:00,D01,Weather Emergency,Medium,46.57217260632229,0,0,1,0,Transported to Hospital
EMG_000117,2023-01-12 16:25:00,D02,Fire,Low,48.520949803939395,0,0,0,0,Transported to Hospital
EMG_000118,2023-01-12 16:36:00,D03,Weather Emergency,Medium,32.57451487215859,0,0,1,0,Resolved On-Site
EMG_000119,2023-01-12 16:06:00,D03,Traffic Accident,High,27.03050394155327,1,1,0,1,Resolved On-Site
EMG_000120,2023-01-12 16:45:00,D03,Weather Emergency,Low,35.36760668053782,0,0,1,0,Transported to Hospital
EMG_000121,2023-01-12 16:51:00,D03,Traffic Accident,Low,36.19143977732557,1,0,0,1,Transported to Hospital
EMG_000122,2023-01-12 16:34:00,D04,Weather Emergency,Medium,45.270973524726244,0,0,1,0,Resolved On-Site
EMG_000123,2023-01-12 16:29:00,D04,Weather Emergency,Medium,46.99428069628797,0,0,1,0,Resolved On-Site
EMG_000124,2023-01-12 16:22:00,D06,Traffic Accident,Medium,47.780250907266804,1,0,0,1,Referred to Other Agency
EMG_000125,2023-01-12 16:53:00,D10,Traffic Accident,Low,39.31971343435595,1,0,0,1,Resolved On-Site
EMG_000126,2023-01-12 16:50:00,D16,Medical Emergency,Low,42.49200987661595,1,0,0,0,Resolved On-Site
EMG_000127,2023-01-12 16:47:00,D17,Medical Emergency,Low,44.374596145374376,1,0,0,0,Transported to Hospital
EMG_000128,2023-01-12 17:46:00,D01,Medical Emergency,Low,37.149275218312305,1,0,0,0,Resolved On-Site
EMG_000129,2023-01-12 21:06:00,D05,Public Safety Incident,Medium,16.229029166846967,0,0,0,0,Resolved On-Site
EMG_000130,2023-01-12 22:43:00,D01,Traffic Accident,Low,24.893448991485815,1,0,0,1,Transported to Hospital
EMG_000131,2023-01-13 00:43:00,D09,Traffic Accident,Low,14.86616991720955,1,0,0,1,Resolved On-Site
EMG_000132,2023-01-13 06:21:00,D03,Traffic Accident,Medium,14.931435186745343,1,0,0,1,Transported to Hospital
EMG_000133,2023-01-13 07:15:00,D06,Medical Emergency,Low,25.121392266760388,1,0,0,0,Referred to Other Agency
EMG_000134,2023-01-13 09:58:00,D09,Public Safety Incident,Low,29.52475527439343,0,0,0,0,Transported to Hospital
EMG_000135,2023-01-13 11:45:00,D08,Fire,Low,18.142056007684303,0,0,0,0,Resolved On-Site
EMG_000136,2023-01-14 03:07:00,D01,Public Safety Incident,High,8.059267860531946,0,0,0,0,Referred to Other Agency
EMG_000137,2023-01-14 08:13:00,D10,Medical Emergency,Low,18.259033487164917,1,0,0,0,Transported to Hospital
EMG_000138,2023-01-14 11:23:00,D18,Traffic Accident,Medium,18.571291201457154,1,0,0,1,Transported to Hospital
EMG_000139,2023-01-14 12:20:00,D06,Medical Emergency,Medium,16.17503475244103,1,0,0,0,Resolved On-Site
EMG_000140,2023-01-14 12:13:00,D20,Fire,Low,18.97998628109757,0,0,0,0,Transported to Hospital
EMG_000141,2023-01-14 17:44:00,D06,Infrastructure Failure,Low,13.257650947355874,0,0,0,0,Resolved On-Site
EMG_000142,2023-01-14 17:47:00,D11,Traffic Accident,High,20.372603496682313,1,1,0,1,Resolved On-Site
EMG_000143,2023-01-14 18:26:00,D17,Traffic Accident,Critical,10.141552780223096,1,1,0,1,Transported to Hospital
EMG_000144,2023-01-14 21:01:00,D12,Medical Emergency,Low,15.743260514299493,1,0,0,0,Resolved On-Site
EMG_000145,2023-01-15 02:57:00,D19,Traffic Accident,Medium,12.291187658403656,1,0,0,1,Resolved On-Site
EMG_000146,2023-01-15 06:02:00,D14,Medical Emergency,Low,20.479596241391114,1,0,0,0,Resolved On-Site
EMG_000147,2023-01-15 11:47:00,D07,Medical Emergency,Medium,12.363951479749169,1,0,0,0,Resolved On-Site
EMG_000148,2023-01-15 14:51:00,D01,Traffic Accident,High,9.976415422148087,1,1,0,1,Resolved On-Site
EMG_000149,2023-01-15 15:17:00,D02,Medical Emergency,Medium,14.774234359553844,1,0,0,0,Resolved On-Site
EMG_000150,2023-01-15 15:08:00,D04,Medical Emergency,Low,21.793182057774874,1,0,0,0,Referred to Other Agency
EMG_000151,2023-01-15 16:47:00,D05,Infrastructure Failure,Medium,19.900347653586785,0,0,0,0,Resolved On-Site
EMG_000152,2023-01-15 21:55:00,D04,Traffic Accident,Low,16.727593319755826,1,0,0,1,Transported to Hospital
EMG_000153,2023-01-15 22:20:00,D11,Medical Emergency,Medium,22.798989728140775,1,0,0,0,Resolved On-Site
EMG_000154,2023-01-16 03:40:00,D15,Fire,Low,20.973589757915203,0,0,0,0,Resolved On-Site
EMG_000155,2023-01-16 04:00:00,D06,Traffic Accident,High,28.16494426264768,1,1,0,1,Resolved On-Site
EMG_000156,2023-01-16 04:32:00,D11,Weather Emergency,Low,36.35228721931246,0,0,1,0,Resolved On-Site
EMG_000157,2023-01-16 04:18:00,D14,Medical Emergency,Low,25.81704503763375,1,0,0,0,Resolved On-Site
EMG_000158,2023-01-16 04:14:00,D20,Public Safety Incident,High,21.234971358730764,0,0,0,0,Transported to Hospital
EMG_000159,2023-01-16 05:47:00,D04,Weather Emergency,Critical,20.30810794577282,0,0,1,0,Resolved On-Site
EMG_000160,2023-01-16 05:11:00,D05,Weather Emergency,Low,29.25699179867041,0,0,1,0,Resolved On-Site
EMG_000161,2023-01-16 05:40:00,D05,Fire,Low,28.997217093423366,0,0,0,0,Resolved On-Site
EMG_000162,2023-01-16 05:14:00,D06,Medical Emergency,Low,33.69213314178727,1,0,0,0,Transported to Hospital
EMG_000163,2023-01-16 05:16:00,D08,Traffic Accident,Low,30.091141924776895,1,0,0,1,Resolved On-Site
EMG_000164,2023-01-16 05:44:00,D13,Infrastructure Failure,Medium,22.83988292510594,0,0,0,0,Resolved On-Site
EMG_000165,2023-01-16 05:37:00,D13,Weather Emergency,Critical,20.16475585817761,0,0,1,0,Transported to Hospital
EMG_000166,2023-01-16 05:03:00,D14,Infrastructure Failure,Medium,23.998480957498607,0,0,0,0,Resolved On-Site
EMG_000167,2023-01-16 05:15:00,D16,Medical Emergency,High,24.297240172572256,1,1,0,0,Transported to Hospital
EMG_000168,2023-01-16 05:36:00,D17,Traffic Accident,High,20.977752903027582,1,1,0,1,Resolved On-Site
EMG_000169,2023-01-16 05:44:00,D18,Traffic Accident,Low,28.819641378890868,1,0,0,1,Resolved On-Site
EMG_000170,2023-01-16 05:28:00,D19,Infrastructure Failure,Medium,25.23441807235606,0,0,0,0,Resolved On-Site
EMG_000171,2023-01-16 06:50:00,D02,Medical Emergency,Medium,35.33436642787852,1,0,0,0,Resolved On-Site
EMG_000172,2023-01-16 06:39:00,D06,Weather Emergency,Medium,35.546840678732785,0,0,1,0,Transported to Hospital
EMG_000173,2023-01-16 06:44:00,D18,Medical Emergency,Medium,38.998749722223465,1,0,0,0,Transported to Hospital
EMG_000174,2023-01-16 07:45:00,D03,Public Safety Incident,Low,36.77384464961874,0,0,0,0,Resolved On-Site
EMG_000175,2023-01-16 07:13:00,D03,Medical Emergency,Medium,29.335223352768548,1,0,0,0,Resolved On-Site
EMG_000176,2023-01-16 07:17:00,D03,Weather Emergency,Critical,27.08435258491612,0,0,1,0,Transported to Hospital
EMG_000177,2023-01-16 07:01:00,D06,Traffic Accident,Medium,45.4230355803759,1,0,0,1,Resolved On-Site
EMG_000178,2023-01-16 07:25:00,D08,Traffic Accident,Medium,40.10313760824811,1,0,0,1,Transported to Hospital
EMG_000179,2023-01-16 07:36:00,D12,Weather Emergency,Low,37.53773077193074,0,0,1,0,Transported to Hospital
EMG_000180,2023-01-16 07:47:00,D14,Weather Emergency,Low,42.04306385049821,0,0,1,0,Resolved On-Site
EMG_000181,2023-01-16 07:36:00,D19,Traffic Accident,Low,45.284160093415785,1,0,0,1,Resolved On-Site
EMG_000182,2023-01-16 09:42:00,D17,Public Safety Incident,Medium,22.994559718005164,0,0,0,0,Resolved On-Site
EMG_000183,2023-01-16 10:45:00,D01,Traffic Accident,Low,26.38616707538027,1,0,0,1,Resolved On-Site
EMG_000184,2023-01-16 10:53:00,D18,Traffic Accident,Medium,21.70612678417792,1,0,0,1,Referred to Other Agency
EMG_000185,2023-01-16 12:09:00,D19,Traffic Accident,Critical,5.993183716366655,1,1,0,1,Transported to Hospital
EMG_000186,2023-01-16 13:41:00,D06,Infrastructure Failure,Medium,16.70784635006581,0,0,0,0,Transported to Hospital
EMG_000187,2023-01-16 14:13:00,D11,Medical Emergency,Low,30.959978526272607,1,0,0,0,Referred to Other Agency
EMG_000188,2023-01-16 14:55:00,D13,Traffic Accident,Low,19.442172929828793,1,0,0,1,Referred to Other Agency
EMG_000189,2023-01-16 14:13:00,D13,Traffic Accident,Medium,14.36650673319949,1,0,0,1,Resolved On-Site
EMG_000190,2023-01-16 14:53:00,D13,Traffic Accident,Medium,12.586115865876785,1,0,0,1,Resolved On-Site
EMG_000191,2023-01-16 19:13:00,D01,Public Safety Incident,Low,32.61478996008296,0,0,0,0,Resolved On-Site
EMG_000192,2023-01-16 19:28:00,D01,Medical Emergency,Low,34.61291199142099,1,0,0,0,Transported to Hospital
EMG_000193,2023-01-17 02:12:00,D01,Medical Emergency,Low,16.78305495942348,1,0,0,0,Resolved On-Site
EMG_000194,2023-01-17 08:35:00,D13,Traffic Accident,Medium,15.503331306920323,1,0,0,1,Resolved On-Site
EMG_000195,2023-01-17 11:01:00,D11,Traffic Accident,Medium,24.660481131461673,1,0,0,1,Resolved On-Site
EMG_000196,2023-01-17 11:42:00,D16,Traffic Accident,Low,17.537485543471565,1,0,0,1,Resolved On-Site
EMG_000197,2023-01-17 15:29:00,D02,Public Safety Incident,Medium,20.39836198117607,0,0,0,0,Resolved On-Site
EMG_000198,2023-01-17 16:12:00,D14,Traffic Accident,Medium,17.080383022986986,1,0,0,1,Referred to Other Agency
EMG_000199,2023-01-17 16:06:00,D14,Traffic Accident,Medium,22.167146649616242,1,0,0,1,Resolved On-Site
EMG_000200,2023-01-17 17:09:00,D15,Traffic Accident,Medium,19.929340313569927,1,0,0,1,Resolved On-Site
EMG_000201,2023-01-17 18:15:00,D08,Traffic Accident,Medium,18.80859161798649,1,0,0,1,Transported to Hospital
EMG_000202,2023-01-18 04:19:00,D20,Traffic Accident,High,4.966278669006112,1,1,0,1,Transported to Hospital
EMG_000203,2023-01-18 12:54:00,D06,Medical Emergency,Low,21.12639621853571,1,0,0,0,Transported to Hospital
EMG_000204,2023-01-18 15:16:00,D08,Medical Emergency,Critical,9.815547375015042,1,1,0,0,Resolved On-Site
EMG_000205,2023-01-18 15:11:00,D15,Public Safety Incident,Low,24.295647256836993,0,0,0,0,Resolved On-Site
EMG_000206,2023-01-18 17:02:00,D09,Traffic Accident,Low,28.522429748690953,1,0,0,1,Resolved On-Site
EMG_000207,2023-01-18 18:16:00,D09,Medical Emergency,Low,28.181822755601605,1,0,0,0,Transported to Hospital
EMG_000208,2023-01-18 19:25:00,D04,Infrastructure Failure,Medium,25.755064378140624,0,0,0,0,Transported to Hospital
EMG_000209,2023-01-18 21:06:00,D02,Medical Emergency,Medium,18.67928465840346,1,0,0,0,Resolved On-Site
EMG_000210,2023-01-19 06:32:00,D15,Medical Emergency,Low,24.064792758003282,1,0,0,0,Resolved On-Site
EMG_000211,2023-01-19 13:16:00,D18,Traffic Accident,Medium,17.692717386396534,1,0,0,1,Resolved On-Site
EMG_000212,2023-01-19 22:39:00,D15,Traffic Accident,Medium,18.616852962518927,1,0,0,1,Resolved On-Site
EMG_000213,2023-01-20 00:18:00,D18,Medical Emergency,Medium,14.105007631850828,1,0,0,0,Transported to Hospital
EMG_000214,2023-01-20 05:13:00,D06,Medical Emergency,Low,15.457042628782162,1,0,0,0,Resolved On-Site
EMG_000215,2023-01-20 06:46:00,D04,Medical Emergency,Medium,18.83959529208551,1,0,0,0,Transported to Hospital
EMG_000216,2023-01-20 14:58:00,D14,Medical Emergency,Medium,15.954302567490398,1,0,0,0,Resolved On-Site
EMG_000217,2023-01-20 14:44:00,D14,Traffic Accident,Low,19.030960948108724,1,0,0,1,Transported to Hospital
EMG_000218,2023-01-20 16:11:00,D12,Medical Emergency,High,11.481705585943992,1,1,0,0,Resolved On-Site
EMG_000219,2023-01-20 18:35:00,D01,Medical Emergency,Low,31.230145358476616,1,0,0,0,Resolved On-Site
EMG_000220,2023-01-21 00:30:00,D11,Medical Emergency,Medium,13.416406811437728,1,0,0,0,Resolved On-Site
EMG_000221,2023-01-21 11:31:00,D06,Fire,Low,17.3453669391207,0,0,0,0,Resolved On-Site
EMG_000222,2023-01-21 14:11:00,D16,Medical Emergency,Medium,17.95239281190122,1,0,0,0,Transported to Hospital
EMG_000223,2023-01-21 16:39:00,D20,Infrastructure Failure,High,11.977159011453457,0,0,0,0,Resolved On-Site
EMG_000224,2023-01-21 18:41:00,D07,Fire,Low,20.80878992960727,0,0,0,0,Transported to Hospital
EMG_000225,2023-01-21 18:56:00,D07,Traffic Accident,Low,17.119820574165303,1,0,0,1,Resolved On-Site
EMG_000226,2023-01-21 22:55:00,D01,Traffic Accident,Medium,15.986347386567232,1,0,0,1,Transported to Hospital
EMG_000227,2023-01-22 05:12:00,D11,Medical Emergency,Medium,14.033922924911717,1,0,0,0,Referred to Other Agency
EMG_000228,2023-01-22 05:11:00,D11,Traffic Accident,Medium,13.78308205072578,1,0,0,1,Resolved On-Site
EMG_000229,2023-01-22 14:21:00,D15,Fire,Medium,13.820491815501622,0,0,0,0,Resolved On-Site
EMG_000230,2023-01-22 15:11:00,D08,Traffic Accident,Low,15.98292853058555,1,0,0,1,Resolved On-Site
EMG_000231,2023-01-22 17:13:00,D17,Fire,Medium,13.079135784631083,0,0,0,0,Transported to Hospital
EMG_000232,2023-01-22 21:15:00,D09,Traffic Accident,Low,22.598729868212683,1,0,0,1,Transported to Hospital
EMG_000233,2023-01-22 22:59:00,D02,Medical Emergency,Low,18.4251259875917,1,0,0,0,Referred to Other Agency
